,#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
57,58,John Salmons,MIL,73,35.0,14.0,5.1,12.3,41.5,1.1,3.0,37.9,2.7,3.3,81.3,0.4,3.3,3.6,3.5,1.0,0.4,1.9,12.8
58,59,Vince Carter,PHX,73,28.1,14.0,5.3,12.2,43.7,1.6,4.4,36.1,1.8,2.4,74.0,0.7,3.0,3.8,2.0,0.9,0.3,1.2,12.2
59,60,Jrue Holiday,PHI,82,35.4,14.0,5.4,12.2,44.6,1.0,2.7,36.5,2.1,2.5,82.3,0.8,3.2,4.0,6.5,1.5,0.4,2.7,16.5
60,61,JJ Hickson,CLE,80,28.2,13.8,5.4,11.7,45.8,0.0,0.1,0.0,3.1,4.6,67.3,2.7,6.0,8.7,1.1,0.6,0.7,2.2,14.9
61,62,Beno Udrih,SAC,79,34.6,13.7,5.2,10.4,50.0,0.8,2.3,35.7,2.5,2.9,86.4,0.5,2.8,3.4,4.9,1.2,0.1,1.8,15.9
62,63,Lou Williams,PHI,75,23.3,13.7,4.3,10.6,40.6,1.2,3.4,34.8,3.9,4.7,82.3,0.4,1.6,2.0,3.4,0.6,0.2,1.4,11.4
63,64,Mike Conley,MEM,81,35.5,13.7,5.2,11.8,44.4,1.0,2.7,36.9,2.2,3.0,73.3,0.4,2.7,3.0,6.5,1.8,0.2,2.2,15.7
64,65,Kyle Lowry,HOU,75,34.2,13.5,4.6,10.8,42.6,1.7,4.6,37.6,2.6,3.3,76.5,1.2,2.9,4.1,6.7,1.4,0.3,2.1,16.9
65,66,Tim Duncan,SAS,76,28.4,13.4,5.5,11.0,50.0,0.0,0.1,0.0,2.4,3.4,71.6,2.2,6.7,8.9,2.7,0.7,1.9,1.6,19.5
66,67,Jeff Green,BOS,75,32.4,13.3,4.9,10.9,44.9,0.9,2.8,30.3,2.6,3.3,81.1,1.0,3.8,4.8,1.4,0.7,0.5,1.3,12.8
67,68,Ramon Sessions,CLE,81,26.3,13.3,4.5,9.6,46.6,0.0,0.2,20.0,4.3,5.2,82.3,0.6,2.6,3.1,5.2,0.7,0.1,2.2,14.2
68,69,Grant Hill,PHX,80,30.1,13.2,5.0,10.3,48.4,0.6,1.4,39.5,2.7,3.2,82.9,1.0,3.3,4.2,2.5,0.8,0.4,1.7,13.6
69,70,Darren Collison,IND,79,29.9,13.2,5.0,11.0,45.7,0.5,1.6,33.1,2.6,2.9,87.1,0.5,2.3,2.8,5.1,1.1,0.2,2.5,13.6
70,71,Jameer Nelson,ORL,76,30.5,13.1,4.9,11.0,44.6,1.6,3.9,40.1,1.7,2.1,80.2,0.5,2.5,3.0,6.0,1.0,0.0,2.6,14.0
